range sp1 sp2 sp3 sp4 sp5 sp6 sp7 sp8 sp9 sp10 median_gnd mean_gnd qdist qscore_resolved qscore_unresolved both_resolved both_unresolved
000_3.0 AG-913-A04 AG-916-J06 AG-918-L07 AG-359-C09 AG-414-O11 AG-911-B23 AG-894-M23 AG-917-C08 AG-917-P07 AG-917-C11 3.19451 3.04774 0.687302 1 64.6667 16 95
000_3.0 AG-894-C14 AG-918-L21 AG-912-F16 AG-903-D02 AG-893-N22 AG-918-K09 AG-917-I17 AG-920-K11 AG-359-E10 AG-903-K22 2.46063 2.58251 0.666667 0 70 0 182
1.0_4.0 AG-915-E06 AG-915-K13 AG-911-B04 AG-918-L07 AG-918-K09 AG-894-M23 AG-913-C03 AG-917-A09 AG-903-K22 AG-904-F17 4.19738 4.09969 0.666667 0 70 0 147
1.0_4.0 AG-913-A04 AG-916-J06 AG-915-E06 AG-915-P01 AG-915-K13 AG-359-M21 AG-903-D02 AG-911-B23 AG-917-C11 AG-414-L09 4.37113 4.21782 0.666667 0 70 0 182
1.0_4.0 AG-916-J06 AG-904-F17 AG-893-N22 AG-911-B23 AG-912-F16 AG-916-M06 AG-359-C09 AG-414-O11 AG-915-E06 AG-911-G03 4.62343 4.29681 0.666667 0 70 0 155
1.0_4.0 AG-905-A10 AG-359-C09 AG-915-E06 AG-918-L07 AG-918-L21 AG-918-K09 AG-917-I17 AG-920-K11 AG-894-M23 AG-920-O11 3.55639 3.48778 0.695238 1 63 21 105
1.0_4.0 AG-913-A04 AG-904-F17 AG-359-M21 AG-903-D02 AG-915-P01 AG-918-L07 AG-918-L21 AG-913-C03 AG-917-C08 AG-920-O11 4.12018 3.96834 0.666667 0 70 0 182
1.0_4.0 AG-916-J06 AG-904-F17 AG-918-K09 AG-894-M23 AG-917-A09 AG-912-F16 AG-916-M06 AG-903-D02 AG-911-B04 AG-911-G03 4.45673 4.27875 0.666667 0 70 0 182
1.0_4.0 AG-359-M21 AG-916-M06 AG-915-E06 AG-894-C14 AG-918-L07 AG-918-L21 AG-917-C11 AG-913-C03 AG-917-I17 AG-414-L09 4.2768 3.96793 0.666667 0 70 0 147
1.0_4.0 AG-917-C08 AG-903-K22 AG-911-B23 AG-918-K09 AG-903-D02 AG-359-C09 AG-414-O11 AG-414-L09 AG-913-A04 AG-911-G03 4.07986 4.0602 0.666667 0 70 0 210
1.0_4.0 AG-359-M21 AG-911-B04 AG-903-D02 AG-918-L07 AG-893-N22 AG-917-I17 AG-920-K11 AG-894-M23 AG-904-F17 AG-911-G03 4.25102 4.07417 0.666667 0 70 0 182
1.0_4.0 AG-905-A10 AG-414-O11 AG-918-L21 AG-894-M23 AG-913-C03 AG-920-O11 AG-920-K11 AG-359-E10 AG-414-L09 AG-916-J06 4.11583 3.75958 0.663492 1 69.6667 1 155
1.0_4.0 AG-916-J06 AG-904-F17 AG-893-N22 AG-359-E10 AG-894-M23 AG-917-C08 AG-905-A10 AG-916-M06 AG-911-B04 AG-915-P01 4.25102 4.00096 0.666667 0 70 0 182
1.0_4.0 AG-894-M23 AG-913-C03 AG-903-K22 AG-917-I17 AG-915-E06 AG-915-P01 AG-916-M06 AG-903-D02 AG-359-C09 AG-414-L09 4.26394 4.0955 0.666667 0 70 0 98
1.0_4.0 AG-915-K13 AG-359-M21 AG-911-B04 AG-414-O11 AG-916-M06 AG-903-D02 AG-918-L07 AG-918-K09 AG-359-E10 AG-904-F17 4.29777 4.16565 0.666667 0 70 0 182
1.0_4.0 AG-912-F16 AG-903-D02 AG-918-L21 AG-893-N22 AG-917-I17 AG-920-K11 AG-894-M23 AG-903-K22 AG-917-P07 AG-916-J06 3.75971 3.60003 0.666667 0 70 0 107
1.0_4.0 AG-894-C14 AG-918-L07 AG-918-L21 AG-912-F16 AG-911-B04 AG-359-C09 AG-911-B23 AG-894-M23 AG-917-C08 AG-916-J06 3.89922 3.75635 0.666667 0 70 0 107
1.0_4.0 AG-905-A10 AG-916-M06 AG-911-B04 AG-414-O11 AG-915-P01 AG-894-C14 AG-911-B23 AG-894-M23 AG-920-K11 AG-359-E10 4.11583 3.79496 0.660317 2 69.3333 2 129
1.0_4.0 AG-915-P01 AG-903-D02 AG-918-L07 AG-917-P07 AG-917-C08 AG-917-I17 AG-920-K11 AG-359-E10 AG-904-F17 AG-911-G03 4.20681 4.04392 0.685714 0 66 12 131
